day month year Tmin Tmax pr eto
13 3 2014 -3.9665893554687273 19.782220458984398 0.0 4.71
14 3 2014 -1.3871520996093523 18.482598876953148 0.0 4.3
15 3 2014 -2.6167663574218523 18.551995849609398 0.0 4.91
16 3 2014 -1.8470214843749773 10.082849121093716 0.0 3.01
17 3 2014 -0.7277282714843523 23.032617187500023 0.0 5.47
18 3 2014 -4.526861572265602 8.692346191406273 3.98 2.34
19 3 2014 -4.607427978515602 13.692834472656273 0.0 3.6
20 3 2014 -3.8872741699218523 20.803033447265648 0.0 4.64
21 3 2014 -3.2675231933593523 13.682733154296898 0.0 4.07
22 3 2014 -10.417089843749977 1.7726989746093977 0.0 1.21
23 3 2014 -7.967779541015602 7.902490234375023 0.0 2.53
24 3 2014 -5.347418212890602 8.012261962890648 0.0 2.5
25 3 2014 -2.0775512695312273 11.721917724609398 0.0 3.13
26 3 2014 1.3732849121093977 20.202416992187523 0.0 5.72
27 3 2014 -4.607427978515602 13.112420654296898 0.0 2.2
28 3 2014 -7.387701416015602 17.752008056640648 0.0 3.59
29 3 2014 -5.977117919921852 21.852838134765648 0.0 5.3
30 3 2014 4.613397216796898 22.932916259765648 0.0 6.22
31 3 2014 -4.965673828124977 13.733209228515648 0.0 3.86
1 4 2014 -2.3056396484374773 12.393182373046898 0.0 3.51
2 4 2014 -0.20587768554685226 12.894128417968773 0.0 3.19
3 4 2014 -3.9455322265624773 2.6938110351562727 5.39 0.47
4 4 2014 -3.0555480957031023 15.003839111328148 0.0 3.9
5 4 2014 1.4240966796875227 17.623315429687523 0.0 4.67
6 4 2014 0.9840637207031477 17.873132324218773 1.94 3.51
7 4 2014 -2.3762878417968523 14.613946533203148 0.0 3.43
8 4 2014 -1.5854858398437273 19.474359130859398 0.0 5.09
9 4 2014 4.103967285156273 30.213464355468773 0.0 7.37
10 4 2014 3.3044677734375227 19.714105224609398 0.0 4.74
11 4 2014 3.7742248535156477 26.164361572265648 0.0 6.07
12 4 2014 6.033898925781273 27.884179687500023 0.0 6.58
13 4 2014 -3.7757019042968523 7.223626708984398 5.65 0.84
14 4 2014 -5.366033935546852 7.313226318359398 0.0 2.91
15 4 2014 -3.8252929687499773 18.924218750000023 0.0 5.27
16 4 2014 -0.9954589843749773 16.343865966796898 0.0 4.74
17 4 2014 -0.31619873046872726 14.914239501953148 0.0 3.64
18 4 2014 2.0042053222656477 23.623132324218773 0.0 6.34
19 4 2014 9.054620361328148 24.193444824218773 0.0 5.39
20 4 2014 6.974694824218773 25.053979492187523 5.07 3.64
21 4 2014 4.784448242187523 22.633874511718773 0.0 3.07
22 4 2014 6.493768310546898 26.694329833984398 0.0 7.53
23 4 2014 8.154718017578148 29.783197021484398 9.73 8.65
24 4 2014 3.5139404296875227 20.993554687500023 0.0 4.98
25 4 2014 5.634759521484398 25.604119873046898 0.0 5.99
26 4 2014 7.494042968750023 31.894158935546898 0.0 8.71
27 4 2014 3.5647521972656477 19.324212646484398 0.58 5.58
28 4 2014 1.8442932128906477 12.153436279296898 1.36 2.96
29 4 2014 0.6642700195312727 9.383813476562523 0.0 2.81
30 4 2014 0.6283203125000227 13.554040527343716 0.0 4.27
1 5 2014 -1.8209899902343523 16.414514160156273 0.0 4.95
2 5 2014 1.0981079101562727 26.483605957031273 0.0 6.65
3 5 2014 6.478875732421898 28.893609619140648 0.0 5.92
4 5 2014 7.208978271484398 26.004113769531273 0.0 5.77
5 5 2014 6.108270263671898 25.383325195312523 0.0 5.57
6 5 2014 6.868096923828148 28.363671875000023 0.0 5.8
7 5 2014 7.098657226562523 30.663903808593716 0.0 6.47
8 5 2014 0.7386413574218977 17.273797607421898 0.0 3.69
9 5 2014 1.4687133789062727 25.104455566406273 0.0 5.57
10 5 2014 7.828729248046898 26.913873291015648 0.0 5.95
11 5 2014 2.2384582519531477 18.014459228515648 2.52 4.08
12 5 2014 0.13869628906252274 7.694268798828148 0.95 0.85
13 5 2014 0.28869018554689774 15.864373779296898 0.0 4.67
14 5 2014 0.5886474609375227 18.323602294921898 3.99 5.09
15 5 2014 1.7389465332031477 18.794244384765648 0.0 4.69
16 5 2014 2.2880493164062727 19.413781738281273 0.0 4.84
17 5 2014 4.128747558593716 15.883294677734398 3.9 3.08
18 5 2014 9.267816162109398 26.093713378906273 0.0 6.64
19 5 2014 12.778161621093716 33.4840026855469 0.0 8.47
20 5 2014 12.548852539062523 28.613519287109398 0.0 7.16
21 5 2014 12.458367919921898 27.663385009765648 16.47 6.47
22 5 2014 12.967797851562523 25.064080810546898 5.4 5.41
23 5 2014 13.038446044921898 22.103936767578148 0.0 4.01
24 5 2014 13.158685302734398 24.794061279296898 1.12 4.56
25 5 2014 11.268426513671898 26.404107666015648 0.0 5.31
26 5 2014 11.617974853515648 27.833703613281273 1.58 5.53
27 5 2014 12.517846679687523 30.663903808593716 0.0 6.31
28 5 2014 13.697900390625023 32.6739440917969 0.0 6.05
29 5 2014 15.358850097656273 32.97426757812502 0.0 7.68
30 5 2014 16.418634033203148 31.394494628906273 18.3 7.68
31 5 2014 16.895867919921898 31.364221191406273 0.0 5.66
1 6 2014 13.536737060546898 31.514367675781273 2.88 6.4
2 6 2014 14.796105957031273 30.554132080078148 0.0 7.09
3 6 2014 15.626580810546898 35.03475341796877 0.0 9.12
4 6 2014 15.366296386718773 25.384576416015648 11.93 6.06
5 6 2014 15.415856933593716 27.694909667968773 0.0 6.03
6 6 2014 11.386163330078148 28.775018310546898 20.71 5.89
7 6 2014 10.995721435546898 21.025109863281273 0.0 4.38
8 6 2014 9.886346435546898 19.815026855468773 44.45 3.56
9 6 2014 8.236535644531273 15.464379882812523 8.49 1.49
10 6 2014 9.065789794921898 26.304437255859398 0.0 5.65
11 6 2014 10.776330566406273 31.185021972656273 0.57 6.47
12 6 2014 10.756494140625023 23.544885253906273 0.0 5.66
13 6 2014 12.045587158203148 28.754815673828148 0.0 7.94
14 6 2014 10.196221923828148 31.174951171875023 5.04 7.9
15 6 2014 11.626641845703148 28.354852294921898 0.0 7.05
16 6 2014 16.155877685546898 36.00505981445315 0.0 10.39
17 6 2014 15.816247558593716 35.5344177246094 0.0 10.07
18 6 2014 13.505761718750023 31.884057617187523 0.0 8.61
19 6 2014 13.716485595703148 30.714379882812523 0.0 7.39
20 6 2014 16.585992431640648 34.5148864746094 1.57 8.17
21 6 2014 16.145959472656273 32.49477539062502 0.56 8.38
22 6 2014 14.946099853515648 30.304315185546898 19.33 6.29
23 6 2014 14.946099853515648 26.164361572265648 3.14 5.38
24 6 2014 13.775964355468773 24.744866943359398 6.52 4.61
25 6 2014 14.695703125000023 29.723870849609398 21.18 6.8
26 6 2014 15.366296386718773 30.054467773437523 0.0 6.64
27 6 2014 14.586633300781273 30.824151611328148 25.94 6.79
28 6 2014 15.956292724609398 30.044366455078148 1.57 7.33
29 6 2014 17.316064453125023 31.634240722656273 0.0 6.99
30 6 2014 14.762628173828148 31.296075439453148 0.0 7.14
1 7 2014 13.622277832031273 27.746667480468773 0.0 6.97
2 7 2014 13.932153320312523 26.526513671875023 0.0 6.11
3 7 2014 15.122094726562523 28.946618652343716 0.0 7.49
4 7 2014 16.692590332031273 34.45684204101565 0.0 8.82
5 7 2014 16.712426757812523 35.97603759765627 0.0 8.04
6 7 2014 17.142541503906273 37.8359313964844 0.0 7.87
7 7 2014 16.631829833984398 37.305993652343716 6.39 8.4
8 7 2014 15.771600341796898 29.456384277343716 0.0 7.09
9 7 2014 16.702508544921898 31.155999755859398 0.0 8.03
10 7 2014 17.892449951171898 33.49663696289065 0.0 8.91
11 7 2014 18.932397460937523 36.5161071777344 0.0 9.79
12 7 2014 18.502282714843716 32.26638183593752 0.0 7.3
13 7 2014 16.142236328125023 30.696710205078148 4.7 6.39
14 7 2014 11.931573486328148 27.316369628906273 0.0 5.76
15 7 2014 12.361688232421898 22.156915283203148 4.28 5.31
16 7 2014 13.371881103515648 16.276971435546898 13.2 3.09
17 7 2014 13.521875000000023 18.046014404296898 2.1 2.61
18 7 2014 14.922540283203148 27.976312255859398 0.0 6.65
19 7 2014 17.012384033203148 31.626672363281273 0.0 7.2
20 7 2014 18.591546630859398 39.32610473632815 0.0 9.33
21 7 2014 18.222161865234398 38.33687744140627 4.03 7.86
22 7 2014 18.972070312500023 36.13628540039065 0.0 6.88
23 7 2014 18.782434082031273 33.54583129882815 0.0 7.16
24 7 2014 19.522424316406273 38.4769226074219 0.0 10.38
25 7 2014 18.571710205078148 36.35585937500002 2.49 8.95
26 7 2014 17.042138671875023 36.10601196289065 0.0 8.12
